1355;1796;233
2524;387;241
2769;430;66
3131;1199;80
661;87;264
628;974;87
1748;185;311
3650;1882;305
3474;1230;281
2662;1405;306
249;47;235
681;385;281
2219;964;188
3741;252;94
3088;1482;61
2428;1551;170
3562;3;213
3734;657;34
229;1847;153
2346;573;305
34;1705;125
3365;1888;186
47;1340;160
2005;1631;292
1067;407;241
3209;224;50
2371;371;156
3990;1450;172
594;563;299
990;47;321
97;409;194
3697;324;327
3125;1312;255
2578;1230;80
43;770;58
729;356;15
771;1904;35
2573;1231;34
3660;427;7
3637;1416;231
3585;1109;195
550;1241;334
583;895;59
724;765;43
3134;177;321
1450;602;11
1065;1451;316
901;745;58
227;534;168
2943;1341;213
3846;256;24
1479;1027;336
3166;973;128
2097;299;198
165;413;313
3144;924;49
3796;244;324
3134;746;7
3855;1808;37
1172;933;244
1285;1233;328
2667;1503;263
2678;1417;234
1972;616;162
2401;1778;292
928;782;169
1642;1125;162
554;1946;167
922;1647;290
359;1840;320
1639;4;240
3964;1678;204
1341;844;337
2791;1912;89
2571;560;165
2614;132;60
1842;1709;144
816;696;276
3399;405;146
1852;682;28
1823;868;64
3901;849;168
3069;412;343
2133;1803;110
656;226;51
3779;320;6
2398;214;18
2685;520;229
3626;4;210
1922;1845;76
3991;1300;294
3430;746;259
3174;606;91
939;1962;146
2237;764;243
3691;1650;125
664;1058;242
2465;426;98
3954;681;46
2246;490;261
2343;360;159
2504;302;325
2866;1409;91
11;1064;340
278;318;84
849;777;156
3171;1147;41
3983;1428;342
389;1979;260
1410;1050;93
707;1513;152
2559;975;228
816;83;175
3819;191;34
2286;1740;307
893;1198;279
883;826;259
1199;1948;136
1229;1036;337
3587;1123;219
3016;260;216
2218;431;319
1954;737;6
1199;322;14
2337;850;193
2605;556;25
892;93;51
1311;113;158
2759;1067;73
3023;557;63
2207;907;214
949;576;76
2959;1856;135
1675;616;144
56;1957;55
1651;164;0
2065;430;213
1902;1390;164
3226;1399;283
772;1422;142
864;1933;348
1521;1224;286
499;1421;13
1417;1961;76
2898;1609;192
3400;530;140
60;1148;241
262;362;208
2498;1204;107
993;581;134
2540;260;326
1525;726;94
2549;554;99
1508;1818;68
1878;234;65
2935;1553;281
932;34;120
3735;514;317
2032;230;315
331;1322;325
307;671;251
1414;472;293
1416;553;62
535;1791;308
3842;1892;325
3576;1287;269
704;535;252
2682;984;292
3507;486;292
3661;867;316
1358;1913;126
3726;56;125
2861;825;56
1795;337;169
3797;990;244
3828;57;2
1774;1020;194
263;208;85
3134;1169;171
3369;697;255
1913;314;247
314;954;62
2088;453;32
1838;1943;279
518;452;337
3469;1080;193
2121;1641;62
3903;911;223
3848;355;173
2298;573;85
373;80;250
701;1438;43
350;802;217
501;1290;190
1514;277;199
189;1151;38
3688;759;346
973;984;10
910;1383;171
262;1669;77
